Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,raw,50,FALSE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,raw,50,FALSE,CW2,0.045,0.04,0.05,200,100,100,0.045,0.04,0.05
resnet,raw,50,FALSE,DeepFool,0.034246575,0.015625,0.048780488,146,64,82,0.025,0.01,0.04
resnet,raw,50,FALSE,FGSM,0.08125,0.105263158,0.046153846,160,95,65,0.065,0.1,0.03
resnet,raw,50,FALSE,LLC,0.054054054,0.06779661,0.038461538,111,59,52,0.03,0.04,0.02
resnet,raw,50,FALSE,PGD,0.060606061,0.070707071,0.050505051,198,99,99,0.06,0.07,0.05
resnet,raw,50,FALSE,RFGSM,0.057591623,0.080808081,0.032608696,191,99,92,0.055,0.08,0.03
resnet,raw,50,FALSE,STEP_LLC,0.056,0.067567568,0.039215686,125,74,51,0.035,0.05,0.02
resnet,raw,50,FALSE,UAP,0.07751938,0.12,0.050632911,129,50,79,0.05,0.06,0.04
resnet,adversarial,18,TRUE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,18,TRUE,CW2,0.050251256,0.050505051,0.05,199,99,100,0.05,0.05,0.05
resnet,adversarial,18,TRUE,DeepFool,0.046783626,0.046511628,0.047058824,171,86,85,0.04,0.04,0.04
resnet,adversarial,18,TRUE,FGSM,0.122807018,0.129032258,0.115384615,57,31,26,0.035,0.04,0.03
resnet,adversarial,18,TRUE,LLC,0.046296296,0.074074074,0.018518519,108,54,54,0.025,0.04,0.01
resnet,adversarial,18,TRUE,PGD,0.060301508,0.08,0.04040404,199,100,99,0.06,0.08,0.04
resnet,adversarial,18,TRUE,RFGSM,0.063636364,0.081967213,0.040816327,110,61,49,0.035,0.05,0.02
resnet,adversarial,18,TRUE,STEP_LLC,0.040816327,0.066666667,0,49,30,19,0.01,0.02,0
resnet,adversarial,18,TRUE,UAP,0.038834951,0.083333333,0.032967033,103,12,91,0.02,0.01,0.03
resnet,adversarial,18,FALSE,BL-BFGS,0.045,0.05,0.04,200,100,100,0.045,0.05,0.04
resnet,adversarial,18,FALSE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,18,FALSE,DeepFool,0.053571429,0.049180328,0.058823529,112,61,51,0.03,0.03,0.03
resnet,adversarial,18,FALSE,FGSM,0.041025641,0.0625,0.02020202,195,96,99,0.04,0.06,0.02
resnet,adversarial,18,FALSE,LLC,0.045454545,0.076923077,0.020408163,88,39,49,0.02,0.03,0.01
resnet,adversarial,18,FALSE,PGD,0.05,0.08,0.02,200,100,100,0.05,0.08,0.02
resnet,adversarial,18,FALSE,RFGSM,0.05,0.06,0.04,200,100,100,0.05,0.06,0.04
resnet,adversarial,18,FALSE,STEP_LLC,0.055045872,0.086206897,0.019607843,109,58,51,0.03,0.05,0.01
resnet,adversarial,18,FALSE,UAP,0.044642857,0.049180328,0.039215686,112,61,51,0.025,0.03,0.02
resnet,adversarial,34,TRUE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,34,TRUE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,34,TRUE,DeepFool,0.045977011,0.047058824,0.04494382,174,85,89,0.04,0.04,0.04
resnet,adversarial,34,TRUE,FGSM,0.067567568,0.138888889,0,74,36,38,0.025,0.05,0
resnet,adversarial,34,TRUE,LLC,0.053763441,0.069767442,0.04,93,43,50,0.025,0.03,0.02
resnet,adversarial,34,TRUE,PGD,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,34,TRUE,RFGSM,0.052631579,0.084745763,0.018181818,114,59,55,0.03,0.05,0.01
resnet,adversarial,34,TRUE,STEP_LLC,0.063492063,0.129032258,0,63,31,32,0.02,0.04,0
resnet,adversarial,34,TRUE,UAP,0.049019608,0,0.052631579,102,7,95,0.025,0,0.05
resnet,adversarial,34,FALSE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,34,FALSE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,34,FALSE,DeepFool,0.05982906,0.049180328,0.071428571,117,61,56,0.035,0.03,0.04
resnet,adversarial,34,FALSE,FGSM,0.052238806,0.082191781,0.016393443,134,73,61,0.035,0.06,0.01
resnet,adversarial,34,FALSE,LLC,0.048192771,0.105263158,0,83,38,45,0.02,0.04,0
resnet,adversarial,34,FALSE,PGD,0.045,0.06,0.03,200,100,100,0.045,0.06,0.03
resnet,adversarial,34,FALSE,RFGSM,0.035175879,0.050505051,0.02,199,99,100,0.035,0.05,0.02
resnet,adversarial,34,FALSE,STEP_LLC,0.09375,0.126984127,0.03030303,96,63,33,0.045,0.08,0.01
resnet,adversarial,34,FALSE,UAP,0.05982906,0.049180328,0.071428571,117,61,56,0.035,0.03,0.04
resnet,adversarial,50,TRUE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,50,TRUE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,50,TRUE,DeepFool,0.049689441,0.037037037,0.0625,161,81,80,0.04,0.03,0.05
resnet,adversarial,50,TRUE,FGSM,0.108695652,0.214285714,0.02,92,42,50,0.05,0.09,0.01
resnet,adversarial,50,TRUE,LLC,0.08045977,0.125,0.042553191,87,40,47,0.035,0.05,0.02
resnet,adversarial,50,TRUE,PGD,0.04,0.04,0.04,200,100,100,0.04,0.04,0.04
resnet,adversarial,50,TRUE,RFGSM,0.047120419,0.063157895,0.03125,191,95,96,0.045,0.06,0.03
resnet,adversarial,50,TRUE,STEP_LLC,0.109375,0.214285714,0.027777778,64,28,36,0.035,0.06,0.01
resnet,adversarial,50,TRUE,UAP,0,0,0,54,13,41,0,0,0
resnet,adversarial,50,FALSE,BL-BFGS,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,50,FALSE,CW2,0.05,0.05,0.05,200,100,100,0.05,0.05,0.05
resnet,adversarial,50,FALSE,DeepFool,0.045045045,0.045454545,0.044444444,111,66,45,0.025,0.03,0.02
resnet,adversarial,50,FALSE,FGSM,0.054347826,0.133333333,0.038961039,92,15,77,0.025,0.02,0.03
resnet,adversarial,50,FALSE,LLC,0.056074766,0.102564103,0.029411765,107,39,68,0.03,0.04,0.02
resnet,adversarial,50,FALSE,PGD,0.049450549,0.073170732,0.03,182,82,100,0.045,0.06,0.03
resnet,adversarial,50,FALSE,RFGSM,0.04950495,0.12,0.026315789,101,25,76,0.025,0.03,0.02
resnet,adversarial,50,FALSE,STEP_LLC,0.044444444,0.071428571,0.039473684,90,14,76,0.02,0.01,0.03
resnet,adversarial,50,FALSE,UAP,0.045045045,0.045454545,0.044444444,111,66,45,0.025,0.03,0.02
