Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,raw,50,TRUE,STEP_LLC,0.107594937,0.1,0.115384615,158,80,78,0.085,0.08,0.09
resnet,raw,50,TRUE,UAP,0.043478261,0.012658228,0.073170732,161,79,82,0.035,0.01,0.06
resnet,raw,50,FALSE,BL-BFGS,0.055555556,0.027777778,0.083333333,72,36,36,0.02,0.01,0.03
resnet,raw,50,FALSE,CW2,0.041666667,0.028571429,0.054054054,72,35,37,0.015,0.01,0.02
resnet,raw,50,FALSE,DeepFool,0.033333333,0,0.0625,60,28,32,0.01,0,0.02
resnet,raw,50,FALSE,FGSM,0.097826087,0.076923077,0.148148148,92,65,27,0.045,0.05,0.04
resnet,raw,50,FALSE,LLC,0.145454545,0.066666667,0.24,55,30,25,0.04,0.02,0.06
resnet,raw,50,FALSE,PGD,0.057142857,0.036363636,0.08,105,55,50,0.03,0.02,0.04
resnet,raw,50,FALSE,RFGSM,0.111111111,0.108695652,0.113636364,90,46,44,0.05,0.05,0.05
resnet,raw,50,FALSE,STEP_LLC,0.056603774,0.032258065,0.090909091,53,31,22,0.015,0.01,0.02
resnet,raw,50,FALSE,UAP,0.071428571,0,0.121212121,56,23,33,0.02,0,0.04
resnet,adversarial,18,TRUE,BL-BFGS,0.07106599,0.03030303,0.112244898,197,99,98,0.07,0.03,0.11
resnet,adversarial,18,TRUE,CW2,0.070707071,0.03030303,0.111111111,198,99,99,0.07,0.03,0.11
resnet,adversarial,18,TRUE,DeepFool,0.035294118,0.011627907,0.05952381,170,86,84,0.03,0.01,0.05
resnet,adversarial,18,TRUE,FGSM,0.155172414,0.129032258,0.185185185,58,31,27,0.045,0.04,0.05
resnet,adversarial,18,TRUE,LLC,0.064220183,0.018518519,0.109090909,109,54,55,0.035,0.01,0.06
resnet,adversarial,18,TRUE,PGD,0.08,0.04,0.12,200,100,100,0.08,0.04,0.12
resnet,adversarial,18,TRUE,RFGSM,0.09009009,0.06557377,0.12,111,61,50,0.05,0.04,0.06
resnet,adversarial,18,TRUE,STEP_LLC,0.102040816,0.1,0.105263158,49,30,19,0.025,0.03,0.02
resnet,adversarial,18,TRUE,UAP,0.077669903,0,0.087912088,103,12,91,0.04,0,0.08
resnet,adversarial,18,FALSE,BL-BFGS,0.069444444,0.057142857,0.081081081,72,35,37,0.025,0.02,0.03
resnet,adversarial,18,FALSE,CW2,0.089552239,0.029411765,0.151515152,67,34,33,0.03,0.01,0.05
resnet,adversarial,18,FALSE,DeepFool,0.076923077,0,0.157894737,39,20,19,0.015,0,0.03
resnet,adversarial,18,FALSE,FGSM,0.051546392,0.043478261,0.058823529,97,46,51,0.025,0.02,0.03
resnet,adversarial,18,FALSE,LLC,0.066666667,0.043478261,0.090909091,45,23,22,0.015,0.01,0.02
resnet,adversarial,18,FALSE,PGD,0.068376068,0.057692308,0.076923077,117,52,65,0.04,0.03,0.05
resnet,adversarial,18,FALSE,RFGSM,0.0625,0.04,0.086956522,96,50,46,0.03,0.02,0.04
resnet,adversarial,18,FALSE,STEP_LLC,0.08,0,0.16,50,25,25,0.02,0,0.04
resnet,adversarial,18,FALSE,UAP,0.069767442,0,0.142857143,43,22,21,0.015,0,0.03
resnet,adversarial,34,TRUE,BL-BFGS,0.071428571,0.030927835,0.111111111,196,97,99,0.07,0.03,0.11
resnet,adversarial,34,TRUE,CW2,0.061538462,0.030927835,0.091836735,195,97,98,0.06,0.03,0.09
resnet,adversarial,34,TRUE,DeepFool,0.052631579,0.011904762,0.091954023,171,84,87,0.045,0.01,0.08
resnet,adversarial,34,TRUE,FGSM,0.162162162,0.166666667,0.157894737,74,36,38,0.06,0.06,0.06
resnet,adversarial,34,TRUE,LLC,0.107526882,0.093023256,0.12,93,43,50,0.05,0.04,0.06
resnet,adversarial,34,TRUE,PGD,0.07,0.04,0.1,200,100,100,0.07,0.04,0.1
resnet,adversarial,34,TRUE,RFGSM,0.086956522,0.06779661,0.107142857,115,59,56,0.05,0.04,0.06
resnet,adversarial,34,TRUE,STEP_LLC,0.126984127,0.096774194,0.15625,63,31,32,0.04,0.03,0.05
resnet,adversarial,34,TRUE,UAP,0.068627451,0,0.073684211,102,7,95,0.035,0,0.07
resnet,adversarial,34,FALSE,BL-BFGS,0.053333333,0,0.102564103,75,36,39,0.02,0,0.04
