Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,augmented,18,False,DeepFool,0.1807909604519774,0.14124293785310735,177,0.16,0.125,
resnet,augmented,18,False,FGSM,0.32642487046632124,0.12953367875647667,193,0.315,0.125,
resnet,augmented,18,False,LLC,0.2265193370165746,0.08839779005524862,181,0.205,0.08,
resnet,augmented,18,False,PGD,0.26,0.115,200,0.26,0.115,
resnet,augmented,18,False,RFGSM,0.24736842105263157,0.14736842105263157,190,0.235,0.14,
resnet,augmented,18,False,STEP_LLC,0.3333333333333333,0.08196721311475409,183,0.305,0.075,
resnet,augmented,18,False,UAP,0.2565789473684211,0.08552631578947369,152,0.195,0.065,
resnet,augmented,34,True,BL-BFGS,0.18,0.005,200,0.18,0.005,
resnet,augmented,34,True,CW2,0.18,0.005,200,0.18,0.005,
resnet,augmented,34,True,DeepFool,0.17616580310880828,0.16580310880829016,193,0.17,0.16,
resnet,augmented,34,True,FGSM,0.2598870056497175,0.15254237288135594,177,0.23,0.135,
resnet,augmented,34,True,LLC,0.20634920634920634,0.15873015873015872,189,0.195,0.15,
resnet,augmented,34,True,PGD,0.205,0.155,200,0.205,0.155,
resnet,augmented,34,True,RFGSM,0.235,0.16,200,0.235,0.16,
resnet,augmented,34,True,STEP_LLC,0.2727272727272727,0.08441558441558442,154,0.21,0.065,
resnet,augmented,34,True,UAP,0.2482758620689655,0.04827586206896552,145,0.18,0.035,
resnet,augmented,34,False,BL-BFGS,0.19,0.005,200,0.19,0.005,
resnet,augmented,34,False,CW2,0.19597989949748743,0.005025125628140704,199,0.195,0.005,
resnet,augmented,34,False,DeepFool,0.16666666666666666,0.09523809523809523,168,0.14,0.08,
resnet,augmented,34,False,FGSM,0.29842931937172773,0.08900523560209424,191,0.285,0.085,
resnet,augmented,34,False,LLC,0.24719101123595505,0.12359550561797752,178,0.22,0.11,
resnet,augmented,34,False,PGD,0.2814070351758794,0.08040201005025126,199,0.28,0.08,
resnet,augmented,34,False,RFGSM,0.2594594594594595,0.11351351351351352,185,0.24,0.105,
resnet,augmented,34,False,STEP_LLC,0.2774566473988439,0.10404624277456648,173,0.24,0.09,
resnet,augmented,34,False,UAP,0.265625,0.0546875,128,0.17,0.035,
resnet,augmented,50,True,BL-BFGS,0.185,0.005,200,0.185,0.005,
resnet,augmented,50,True,CW2,0.185,0.005,200,0.185,0.005,
resnet,augmented,50,True,DeepFool,0.18041237113402062,0.15979381443298968,194,0.175,0.155,
resnet,augmented,50,True,FGSM,0.26174496644295303,0.1342281879194631,149,0.195,0.1,
resnet,augmented,50,True,LLC,0.21164021164021163,0.1111111111111111,189,0.2,0.105,
resnet,augmented,50,True,PGD,0.21,0.155,200,0.21,0.155,
resnet,augmented,50,True,RFGSM,0.24731182795698925,0.15053763440860216,186,0.23,0.14,
resnet,augmented,50,True,STEP_LLC,0.2923076923076923,0.07692307692307693,130,0.19,0.05,
resnet,augmented,50,True,UAP,0.2897196261682243,0.21495327102803738,107,0.155,0.115,
resnet,augmented,50,False,BL-BFGS,0.18877551020408162,0.00510204081632653,196,0.185,0.005,
resnet,augmented,50,False,CW2,0.19,0.005,200,0.19,0.005,
resnet,augmented,50,False,DeepFool,0.17543859649122806,0.15789473684210525,171,0.15,0.135,
resnet,augmented,50,False,FGSM,0.3072916666666667,0.10416666666666667,192,0.295,0.1,
resnet,augmented,50,False,LLC,0.2640449438202247,0.056179775280898875,178,0.235,0.05,
resnet,augmented,50,False,PGD,0.215,0.09,200,0.215,0.09,
resnet,augmented,50,False,RFGSM,0.24870466321243523,0.11398963730569948,193,0.24,0.11,
resnet,augmented,50,False,STEP_LLC,0.3103448275862069,0.11494252873563218,174,0.27,0.1,
resnet,augmented,50,False,UAP,0.22916666666666666,0.10416666666666667,144,0.165,0.075,
resnet,adversarial,18,True,BL-BFGS,0.18,0.005,200,0.18,0.005,
resnet,adversarial,18,True,CW2,0.195,0.005,200,0.195,0.005,
resnet,adversarial,18,True,DeepFool,0.17857142857142858,0.14795918367346939,196,0.175,0.145,
resnet,adversarial,18,True,FGSM,0.2865853658536585,0.18292682926829268,164,0.235,0.15,
resnet,adversarial,18,True,LLC,0.22916666666666666,0.13020833333333334,192,0.22,0.125,
resnet,adversarial,18,True,PGD,0.215,0.125,200,0.215,0.125,
resnet,adversarial,18,True,RFGSM,0.25396825396825395,0.164021164021164,189,0.24,0.155,
resnet,adversarial,18,True,STEP_LLC,0.3064516129032258,0.0967741935483871,124,0.19,0.06,
