Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,augmented,18,False,DeepFool,0.03389830508474576,0.04519774011299435,177,0.03,0.04,
resnet,augmented,18,False,FGSM,0.15025906735751296,0.02072538860103627,193,0.145,0.02,
resnet,augmented,18,False,LLC,0.09392265193370165,0.0,181,0.085,0.0,
resnet,augmented,18,False,PGD,0.135,0.03,200,0.135,0.03,
resnet,augmented,18,False,RFGSM,0.07368421052631578,0.03684210526315789,190,0.07,0.035,
resnet,augmented,18,False,STEP_LLC,0.15846994535519127,0.00546448087431694,183,0.145,0.005,
resnet,augmented,18,False,UAP,0.07894736842105263,0.006578947368421052,152,0.06,0.005,
resnet,augmented,34,True,BL-BFGS,0.05,0.025,200,0.05,0.025,
resnet,augmented,34,True,CW2,0.05,0.02,200,0.05,0.02,
resnet,augmented,34,True,DeepFool,0.04145077720207254,0.06735751295336788,193,0.04,0.065,
resnet,augmented,34,True,FGSM,0.10734463276836158,0.0847457627118644,177,0.095,0.075,
resnet,augmented,34,True,LLC,0.042328042328042326,0.005291005291005291,189,0.04,0.005,
resnet,augmented,34,True,PGD,0.05,0.08,200,0.05,0.08,
resnet,augmented,34,True,RFGSM,0.065,0.06,200,0.065,0.06,
resnet,augmented,34,True,STEP_LLC,0.1038961038961039,0.03896103896103896,154,0.08,0.03,
resnet,augmented,34,True,UAP,0.06896551724137931,0.034482758620689655,145,0.05,0.025,
resnet,augmented,34,False,BL-BFGS,0.04,0.02,200,0.04,0.02,
resnet,augmented,34,False,CW2,0.04020100502512563,0.02512562814070352,199,0.04,0.025,
resnet,augmented,34,False,DeepFool,0.05357142857142857,0.03571428571428571,168,0.045,0.03,
resnet,augmented,34,False,FGSM,0.13612565445026178,0.015706806282722512,191,0.13,0.015,
resnet,augmented,34,False,LLC,0.07303370786516854,0.011235955056179775,178,0.065,0.01,
resnet,augmented,34,False,PGD,0.10552763819095477,0.03015075376884422,199,0.105,0.03,
resnet,augmented,34,False,RFGSM,0.05405405405405406,0.032432432432432434,185,0.05,0.03,
resnet,augmented,34,False,STEP_LLC,0.13872832369942195,0.011560693641618497,173,0.12,0.01,
