Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,augmented,18,False,DeepFool,0.011299435028248588,0.11299435028248588,177,0.01,0.1,
resnet,augmented,18,False,FGSM,0.20725388601036268,0.046632124352331605,193,0.2,0.045,
resnet,augmented,18,False,LLC,0.09944751381215469,0.022099447513812154,181,0.09,0.02,
resnet,augmented,18,False,PGD,0.15,0.08,200,0.15,0.08,
resnet,augmented,18,False,RFGSM,0.06842105263157895,0.09473684210526316,190,0.065,0.09,
resnet,augmented,18,False,STEP_LLC,0.24043715846994534,0.01092896174863388,183,0.22,0.01,
resnet,augmented,18,False,UAP,0.08552631578947369,0.07236842105263158,152,0.065,0.055,
resnet,augmented,34,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
resnet,augmented,34,True,CW2,0.01,0.12,200,0.01,0.12,
resnet,augmented,34,True,DeepFool,0.0051813471502590676,0.15544041450777202,193,0.005,0.15,
resnet,augmented,34,True,FGSM,0.14689265536723164,0.096045197740113,177,0.13,0.085,
resnet,augmented,34,True,LLC,0.047619047619047616,0.021164021164021163,189,0.045,0.02,
resnet,augmented,34,True,PGD,0.045,0.145,200,0.045,0.145,
resnet,augmented,34,True,RFGSM,0.045,0.135,200,0.045,0.135,
resnet,augmented,34,True,STEP_LLC,0.12987012987012986,0.045454545454545456,154,0.1,0.035,
resnet,augmented,34,True,UAP,0.006896551724137931,0.034482758620689655,145,0.005,0.025,
resnet,augmented,34,False,BL-BFGS,0.0,0.12,200,0.0,0.12,
resnet,augmented,34,False,CW2,0.005025125628140704,0.11055276381909548,199,0.005,0.11,
resnet,augmented,34,False,DeepFool,0.005952380952380952,0.09523809523809523,168,0.005,0.08,
resnet,augmented,34,False,FGSM,0.2198952879581152,0.041884816753926704,191,0.21,0.04,
resnet,augmented,34,False,LLC,0.06179775280898876,0.0449438202247191,178,0.055,0.04,
resnet,augmented,34,False,PGD,0.11055276381909548,0.08040201005025126,199,0.11,0.08,
resnet,augmented,34,False,RFGSM,0.06486486486486487,0.08648648648648649,185,0.06,0.08,
resnet,augmented,34,False,STEP_LLC,0.17341040462427745,0.023121387283236993,173,0.15,0.02,
resnet,augmented,34,False,UAP,0.109375,0.0859375,128,0.07,0.055,
resnet,augmented,50,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
resnet,augmented,50,True,CW2,0.005,0.115,200,0.005,0.115,
resnet,augmented,50,True,DeepFool,0.0,0.10824742268041238,194,0.0,0.105,
resnet,augmented,50,True,FGSM,0.174496644295302,0.15436241610738255,149,0.13,0.115,
resnet,augmented,50,True,LLC,0.042328042328042326,0.026455026455026454,189,0.04,0.025,
resnet,augmented,50,True,PGD,0.04,0.145,200,0.04,0.145,
resnet,augmented,50,True,RFGSM,0.043010752688172046,0.12903225806451613,186,0.04,0.12,
resnet,augmented,50,True,STEP_LLC,0.14615384615384616,0.038461538461538464,130,0.095,0.025,
resnet,augmented,50,True,UAP,0.009345794392523364,0.028037383177570093,107,0.005,0.015,
resnet,augmented,50,False,BL-BFGS,0.0,0.12244897959183673,196,0.0,0.12,
resnet,augmented,50,False,CW2,0.0,0.12,200,0.0,0.12,
resnet,augmented,50,False,DeepFool,0.011695906432748537,0.10526315789473684,171,0.01,0.09,
resnet,augmented,50,False,FGSM,0.16145833333333334,0.057291666666666664,192,0.155,0.055,
resnet,augmented,50,False,LLC,0.06741573033707865,0.0898876404494382,178,0.06,0.08,
resnet,augmented,50,False,PGD,0.09,0.075,200,0.09,0.075,
resnet,augmented,50,False,RFGSM,0.05699481865284974,0.05699481865284974,193,0.055,0.055,
resnet,augmented,50,False,STEP_LLC,0.14367816091954022,0.040229885057471264,174,0.125,0.035,
resnet,augmented,50,False,UAP,0.041666666666666664,0.0763888888888889,144,0.03,0.055,
resnet,adversarial,18,True,BL-BFGS,0.01,0.115,200,0.01,0.115,
resnet,adversarial,18,True,CW2,0.01,0.115,200,0.01,0.115,
resnet,adversarial,18,True,DeepFool,0.00510204081632653,0.15306122448979592,196,0.005,0.15,
