Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,augmented,50,TRUE,STEP_LLC,0.051612903,0.050632911,0.052631579,155,79,76,0.04,0.04,0.04
resnet,augmented,50,TRUE,UAP,0,0,0,172,83,89,0,0,0
resnet,augmented,50,FALSE,BL-BFGS,0.005025126,0.01010101,0,199,99,100,0.005,0.01,0
resnet,augmented,50,FALSE,CW2,0.005025126,0.01,0,199,100,99,0.005,0.01,0
resnet,augmented,50,FALSE,DeepFool,0.007092199,0.016129032,0,141,62,79,0.005,0.01,0
resnet,augmented,50,FALSE,FGSM,0.039215686,0.041237113,0,102,97,5,0.02,0.04,0
resnet,augmented,50,FALSE,LLC,0.036036036,0.034482759,0.037735849,111,58,53,0.02,0.02,0.02
resnet,augmented,50,FALSE,PGD,0.035,0.04,0.03,200,100,100,0.035,0.04,0.03
resnet,augmented,50,FALSE,RFGSM,0.043103448,0.04,0.0625,116,100,16,0.025,0.04,0.01
resnet,augmented,50,FALSE,STEP_LLC,0,0,0,101,96,5,0,0,0
resnet,augmented,50,FALSE,UAP,0.015625,0.031746032,0,128,63,65,0.01,0.02,0
resnet,raw,18,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,18,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,18,TRUE,DeepFool,0,0,0,176,92,84,0,0,0
resnet,raw,18,TRUE,FGSM,0.112820513,0.12371134,0.102040816,195,97,98,0.11,0.12,0.1
resnet,raw,18,TRUE,LLC,0.029126214,0.018867925,0.04,103,53,50,0.015,0.01,0.02
resnet,raw,18,TRUE,PGD,0.105,0.1,0.11,200,100,100,0.105,0.1,0.11
resnet,raw,18,TRUE,RFGSM,0.055,0.03,0.08,200,100,100,0.055,0.03,0.08
resnet,raw,18,TRUE,STEP_LLC,0.087719298,0.113636364,0.060240964,171,88,83,0.075,0.1,0.05
resnet,raw,18,TRUE,UAP,0,0,0,176,92,84,0,0,0
resnet,raw,18,FALSE,BL-BFGS,0.005102041,0.01,0,196,100,96,0.005,0.01,0
resnet,raw,18,FALSE,CW2,0.005025126,0.01010101,0,199,99,100,0.005,0.01,0
resnet,raw,18,FALSE,DeepFool,0,0,0,168,85,83,0,0,0
resnet,raw,18,FALSE,FGSM,0.09947644,0.053191489,0.144329897,191,94,97,0.095,0.05,0.14
resnet,raw,18,FALSE,LLC,0.040816327,0.040816327,0.040816327,98,49,49,0.02,0.02,0.02
resnet,raw,18,FALSE,PGD,0.060606061,0.030612245,0.09,198,98,100,0.06,0.03,0.09
resnet,raw,18,FALSE,RFGSM,0.035353535,0.02020202,0.050505051,198,99,99,0.035,0.02,0.05
